card_id,name,set_name,market_price,predicted_relative_return,pred_lo90,pred_hi90,percentile,direction_flag,direction_flag_percentile,signal_strength,top3_drivers,cardmarket_eur_avg30,cardmarket_eur_trend,cardmarket_eur_usd_div_z
sv7-159,Galvantula ex,Stellar Crown,1.86,0.0330156434238645,-0.20489349822809605,0.28227538673732255,70.0836820083682,none,none,strong,log_price +0.13; premium_asof -0.05; mid_skew +0.05,1.69,1.74,0.08570497631282571
sv10-207,Arboliva ex,Destined Rivals,2.05,0.03298663179287454,-0.20492250985908603,0.2822463751063326,69.8744769874477,none,none,strong,log_price +0.12; premium_asof -0.08; set_age -0.06,1.91,1.62,-0.4885350684093722
sv1-224,Arcanine ex,Scarlet & Violet,14.3,0.032948404474445546,-0.204960737177515,0.2822081477879036,69.6652719665272,none,none,strong,premium_asof +0.08; vol_6m -0.03; set_age +0.03,7.79,7.81,-1.4536019591373919
sv8-225,Alolan Exeggutor ex,Surging Sparks,1.96,0.03282343465952985,-0.2050857069924307,0.2820831779729879,69.4560669456067,none,none,strong,log_price +0.12; mid_skew +0.07; vol_6m -0.05,2.58,2.53,1.4905946030502915
me2pt5-252,Stunfisk ex,Ascended Heroes,0.72,0.032555115391805944,-0.20535402626015462,0.281814858705264,69.24686192468619,none,none,strong,log_price +0.19; premium_asof -0.08; set_age -0.08,0.75,0.76,0.5604363483038818
me1-162,Mega Mawile ex,Mega Evolution,2.27,0.0321795472679368,-0.20572959438402377,0.28143929058139483,69.0376569037657,none,none,strong,log_price +0.11; set_age -0.07; mid_skew +0.06,2.71,2.92,1.4729106856971705
sv3pt5-200,Blastoise ex,151,140.68,0.032163364582554387,-0.14781825484530225,0.26309485536737265,68.82845188284519,none,none,strong,log_price -0.15; premium_asof +0.09; mispricing +0.06,154.87,147.82,0.5414502362865853
swsh9-160,Whimsicott V,Brilliant Stars,2.0,0.03181995558837764,-0.1163557320689188,0.208595599796913,68.6192468619247,none,none,strong,log_price +0.12; set_age +0.07; premium_asof -0.04,1.49,1.76,-0.133663430804235
swsh9-174,Charizard VSTAR,Brilliant Stars,76.03,0.03158283972250648,-0.12122848419027438,0.1469710639993862,68.41004184100419,none,none,strong,log_price -0.11; premium_asof +0.11; set_age +0.07,48.46,58.38,-0.577055622837751
swsh7-208,Glaceon VMAX,Evolving Skies,37.16,0.03149654827119879,-0.12131477564158205,0.14688477254807852,68.20083682008368,none,none,strong,premium_asof +0.09; set_age +0.09; mispricing -0.08,32.45,30.15,-0.40506229866509086
me2-112,Mismagius ex,Phantasmal Flames,1.62,0.031368121717856204,-0.20654101993410434,0.28062786503131426,67.99163179916317,none,none,strong,log_price +0.14; set_age -0.08; mid_skew +0.06,1.84,1.94,1.1217687997626258
sv10-206,Yanmega ex,Destined Rivals,1.21,0.03135668352060523,-0.20655245813135534,0.2806164268340633,67.78242677824268,none,none,strong,log_price +0.15; premium_asof -0.11; set_age -0.06,1.33,1.25,0.47148643414890323
sv5-206,Iron Crown ex,Temporal Forces,50.77,0.03104072551430995,-0.1489408939135467,0.26197221629912826,67.57322175732217,none,none,strong,log_price -0.09; mispricing +0.06; rarity_SIR +0.05,47.02,36.98,-0.7331169371478571
sv8-228,Cyclizar ex,Surging Sparks,1.55,0.031024282139785662,-0.2068848595121749,0.2802840254532437,67.36401673640168,none,none,strong,log_price +0.14; premium_asof -0.11; mid_skew +0.04,1.98,1.92,1.2845788291618794
me1-156,Mega Camerupt ex,Mega Evolution,1.62,0.03079310765013002,-0.20711603400183054,0.28005285096358806,67.15481171548117,none,none,strong,log_price +0.14; premium_asof -0.10; set_age -0.07,2.84,2.38,2.195622185161962
me1-157,Mega Abomasnow ex,Mega Evolution,1.91,0.030571224353339137,-0.20733791729862142,0.27983096766679716,66.94560669456067,none,none,strong,log_price +0.12; premium_asof -0.10; set_age -0.07,2.64,2.83,2.2452003757301378
sv10-208,Team Rocket's Moltres ex,Destined Rivals,5.13,0.030498280378371514,-0.20741086127358904,0.27975802369182956,66.73640167364016,none,none,strong,mispricing -0.06; log_price +0.06; set_age -0.06,5.29,5.37,0.525754480593616
sv9-177,Salamence ex,Journey Together,1.99,0.030328662230440107,-0.20758047942152044,0.27958840554389813,66.52719665271967,none,none,strong,log_price +0.12; set_age -0.05; mispricing -0.05,1.93,1.91,0.18184048252866986
sv4-249,Iron Valiant ex,Paradox Rift,21.51,0.030012161910020662,-0.149969457517836,0.26094365269483893,66.31799163179917,none,none,strong,premium_asof -0.08; mispricing +0.06; rarity_SIR +0.05,24.03,20.96,0.2396895354910897
sv9-189,N's Zoroark ex,Journey Together,13.71,0.029136250189689735,-0.10820569703100505,0.2131351532855283,66.10878661087865,none,none,strong,set_age -0.05; mid_skew +0.03; lifecycle -0.03,17.95,16.04,1.0127172474955948
sv8-222,Flygon ex,Surging Sparks,2.6,0.029105011017491845,-0.2088041306344687,0.27836475433094987,65.89958158995816,none,none,strong,log_price +0.10; mispricing -0.06; set_age -0.04,2.6,2.25,-0.19144875808149336
sv9-178,Dudunsparce ex,Journey Together,1.25,0.02894089461573836,-0.2089682470362222,0.2782006379291964,65.69037656903765,none,none,strong,log_price +0.15; vol_6m -0.06; set_age -0.05,1.39,1.6,1.447829736783879
sv10-217,Team Rocket's Crobat ex,Destined Rivals,2.56,0.028920945272944525,-0.20898819637901603,0.27818068858640255,65.48117154811716,none,none,strong,log_price +0.11; set_age -0.06; mispricing -0.05,2.71,2.47,0.20178609653965052
sv8pt5-177,Teal Mask Ogerpon ex,Prismatic Evolutions,8.02,0.028838955748896916,-0.10850299147179787,0.21283785884473547,65.27196652719665,none,none,strong,vol_6m -0.06; set_age -0.04; artwork -0.04,8.42,8.8,0.7253121599705562
