card_id,name,set_id,set_name,number,rarity,variant,eu_eur,eu_usd,us_usd,ratio,gap_pct,gap_usd,obs_dates,flags
sv1-35,Torkoal,sv1,Scarlet & Violet,35,Uncommon,holo,0.22,0.256344,0.23,1.1145391304347827,11.45391304347827,0.026344000000000006,8,penny
sv1-75,Pawmo,sv1,Scarlet & Violet,75,Common,normal,0.04,0.046608000000000004,0.12,0.3884,-61.15999999999999,-0.07339199999999999,8,penny
sv1-75,Pawmo,sv1,Scarlet & Violet,75,Common,holo,0.08,0.09321600000000001,0.25,0.37286400000000003,-62.71359999999999,-0.15678399999999998,8,penny
swsh7-144,Crystal Cave,swsh7,Evolving Skies,144,Uncommon,normal,0.11,0.128172,0.21,0.6103428571428572,-38.965714285714284,-0.08182799999999998,8,penny
swsh7-144,Crystal Cave,swsh7,Evolving Skies,144,Uncommon,holo,0.19,0.221388,0.24,0.92245,-7.755000000000001,-0.01861199999999999,8,penny
me4-42,Xerneas,me4,Chaos Rising,42,Rare,normal,0.05,0.058260000000000006,0.16,0.36412500000000003,-63.5875,-0.10174,7,penny
me4-42,Xerneas,me4,Chaos Rising,42,Rare,holo,0.13,0.151476,0.22,0.6885272727272728,-31.147272727272725,-0.068524,7,penny
swsh12-73,Medicham,swsh12,Silver Tempest,73,Rare Holo,normal,0.23,0.267996,0.18,1.4888666666666668,48.88666666666668,0.08799600000000002,8,penny
swsh12-73,Medicham,swsh12,Silver Tempest,73,Rare Holo,holo,0.44,0.512688,0.23,2.2290782608695654,122.90782608695653,0.28268800000000005,8,penny
me1-8,Chikorita,me1,Mega Evolution,8,Common,normal,0.04,0.046608000000000004,0.2,0.23304,-76.696,-0.153392,8,penny
me1-8,Chikorita,me1,Mega Evolution,8,Common,holo,0.16,0.18643200000000001,0.3,0.6214400000000001,-37.85599999999999,-0.11356799999999997,8,penny
swsh12-200,Mawile VSTAR,swsh12,Silver Tempest,200,Rare Rainbow,normal,5.92,6.897984,7.3,0.9449293150684932,-5.50706849315068,-0.4020159999999997,10,
sv8-78,Uxie,sv8,Surging Sparks,78,Common,normal,0.08,0.09321600000000001,0.19,0.4906105263157895,-50.93894736842105,-0.096784,8,penny
sv8-78,Uxie,sv8,Surging Sparks,78,Common,holo,0.15,0.17478,0.28,0.6242142857142856,-37.578571428571436,-0.10522000000000004,8,penny
sv8-24,Larvesta,sv8,Surging Sparks,24,Common,normal,0.03,0.034956,0.03,1.1652,16.520000000000003,0.004956000000000002,8,penny
sv8-24,Larvesta,sv8,Surging Sparks,24,Common,holo,0.07,0.08156400000000001,0.18,0.4531333333333334,-54.68666666666666,-0.09843599999999998,8,penny
sv10-176,Team Rocket's Petrel,sv10,Destined Rivals,176,Uncommon,normal,0.27,0.31460400000000005,0.3,1.0486800000000003,4.868000000000028,0.014604000000000061,8,penny
sv10-176,Team Rocket's Petrel,sv10,Destined Rivals,176,Uncommon,holo,0.43,0.501036,0.69,0.7261391304347827,-27.386086956521726,-0.1889639999999999,8,penny
me4-60,Metang,me4,Chaos Rising,60,Common,normal,0.02,0.023304000000000002,0.08,0.2913,-70.87,-0.056695999999999996,7,penny
me4-60,Metang,me4,Chaos Rising,60,Common,holo,0.09,0.104868,0.25,0.419472,-58.05279999999999,-0.14513199999999998,7,penny
me2-10,Lokix,me2,Phantasmal Flames,10,Uncommon,normal,0.02,0.023304000000000002,0.08,0.2913,-70.87,-0.056695999999999996,8,penny
me2-10,Lokix,me2,Phantasmal Flames,10,Uncommon,holo,0.07,0.08156400000000001,0.18,0.4531333333333334,-54.68666666666666,-0.09843599999999998,8,penny
sv5-218,Raging Bolt ex,sv5,Temporal Forces,218,Hyper Rare,normal,12.33,14.366916,12.67,1.1339318074191003,13.393180741910026,1.6969159999999999,11,
sv4pt5-170,Primeape,sv4pt5,Paldean Fates,170,Shiny Rare,normal,3.99,4.649148,4.63,1.0041356371490282,0.4135637149028204,0.019148000000000387,8,
swsh9-33,Crawdaunt,swsh9,Brilliant Stars,33,Uncommon,normal,0.06,0.069912,0.15,0.46608000000000005,-53.391999999999996,-0.08008799999999999,8,penny
swsh9-33,Crawdaunt,swsh9,Brilliant Stars,33,Uncommon,holo,0.15,0.17478,0.16,1.0923749999999999,9.237499999999986,0.014779999999999988,8,penny
sv4-157,Cyclizar,sv4,Paradox Rift,157,Uncommon,normal,0.03,0.034956,0.07,0.4993714285714285,-50.06285714285714,-0.035044000000000006,8,penny
sv4-157,Cyclizar,sv4,Paradox Rift,157,Uncommon,holo,0.14,0.16312800000000002,0.17,0.9595764705882354,-4.042352941176464,-0.006871999999999989,8,penny
sv3pt5-168,Charmander,sv3pt5,151,168,Illustration Rare,normal,90.09,104.972868,94.59,1.1097670789724072,10.976707897240722,10.382868000000002,8,
sv3pt5-26,Raichu,sv3pt5,151,26,Rare,normal,0.34,0.396168,0.34,1.1652,16.520000000000003,0.056167999999999996,8,penny
sv3pt5-26,Raichu,sv3pt5,151,26,Rare,holo,2.23,2.598396,1.06,2.4513169811320754,145.13169811320753,1.538396,8,
sv4-228,Sandy Shocks ex,sv4,Paradox Rift,228,Ultra Rare,normal,1.82,2.120664,2.17,0.9772645161290323,-2.2735483870967688,-0.049335999999999824,11,
swsh7-48,Arctovish V,swsh7,Evolving Skies,48,Rare Holo V,normal,1.03,1.200156,1.27,0.9450047244094488,-5.499527559055117,-0.06984400000000002,8,
sv6-118,Brute Bonnet,sv6,Twilight Masquerade,118,Uncommon,normal,0.06,0.069912,0.18,0.3884,-61.15999999999999,-0.11008799999999999,8,penny
sv6-118,Brute Bonnet,sv6,Twilight Masquerade,118,Uncommon,holo,0.12,0.139824,0.24,0.5826,-41.74,-0.10017599999999999,8,penny
swsh12pt5-140,Raihan,swsh12pt5,Crown Zenith,140,Rare Holo,normal,0.32,0.37286400000000003,0.37,1.0077405405405406,0.774054054054063,0.002864000000000033,8,penny
swsh12pt5-140,Raihan,swsh12pt5,Crown Zenith,140,Rare Holo,holo,0.78,0.908856,0.5,1.817712,81.7712,0.408856,8,penny
swsh7-40,Glaceon V,swsh7,Evolving Skies,40,Rare Holo V,normal,2.13,2.4818759999999997,2.66,0.9330360902255638,-6.696390977443622,-0.1781240000000004,8,
me2pt5-112,Riolu,me2pt5,Ascended Heroes,112,Common,normal,0.04,0.046608000000000004,0.1,0.46608,-53.391999999999996,-0.053392,7,penny
swsh10-13,Leafeon,swsh10,Astral Radiance,13,Rare,normal,0.21,0.244692,0.5,0.489384,-51.0616,-0.255308,8,penny
swsh10-13,Leafeon,swsh10,Astral Radiance,13,Rare,holo,0.41,0.477732,0.7,0.6824742857142857,-31.75257142857143,-0.22226799999999997,8,penny
sv8pt5-161,Umbreon ex,sv8pt5,Prismatic Evolutions,161,Special Illustration Rare,normal,1203.67,1402.516284,1430.09,0.9807188946150243,-1.9281105384975739,-27.573715999999877,11,
me2pt5-281,Team Rocket's Mewtwo ex,me2pt5,Ascended Heroes,281,Special Illustration Rare,normal,245.66,286.24303199999997,291.65,0.9814607646151209,-1.8539235384879116,-5.406968000000006,7,
sv1-166,Arven,sv1,Scarlet & Violet,166,Uncommon,normal,0.18,0.209736,0.32,0.655425,-34.457499999999996,-0.110264,8,penny
sv1-166,Arven,sv1,Scarlet & Violet,166,Uncommon,holo,0.28,0.32625600000000005,0.59,0.5529762711864408,-44.70237288135592,-0.2637439999999999,8,penny
me2-119,Firebreather,me2,Phantasmal Flames,119,Ultra Rare,normal,1.03,1.200156,0.87,1.3794896551724138,37.94896551724138,0.330156,8,penny
sv3pt5-9,Blastoise ex,sv3pt5,151,9,Double Rare,normal,4.11,4.788972,2.71,1.767148339483395,76.71483394833949,2.0789720000000003,8,
sv4pt5-99,Pineco,sv4pt5,Paldean Fates,99,Shiny Rare,normal,3.32,3.868464,2.94,1.315804081632653,31.580408163265304,0.928464,8,
sv1-34,Houndoom,sv1,Scarlet & Violet,34,Common,normal,0.04,0.046608000000000004,0.15,0.31072000000000005,-68.92799999999998,-0.10339199999999998,8,penny
sv1-34,Houndoom,sv1,Scarlet & Violet,34,Common,holo,0.11,0.128172,0.17,0.7539529411764706,-24.60470588235294,-0.041828000000000004,8,penny
sv6-16,Rillaboom,sv6,Twilight Masquerade,16,Uncommon,normal,0.07,0.08156400000000001,0.14,0.5826,-41.74,-0.058436,8,penny
sv6-16,Rillaboom,sv6,Twilight Masquerade,16,Uncommon,holo,0.28,0.32625600000000005,0.28,1.1652,16.520000000000003,0.04625600000000002,8,penny
